"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 13 14:38:58 UTC 2025","Thu Nov 13 14:38:59 UTC 2025","1130","","UI Tests","","TodoUITests","AddTodo_ShouldClearInputField","AddTodo_ShouldClearInputField","Verify that the input field is cleared after adding a todo"
"passed","Thu Nov 13 14:39:15 UTC 2025","Thu Nov 13 14:39:15 UTC 2025","1","","Unit Tests","","TodoAppUnitTests","GetActiveTodos_ShouldReturnOnlyActiveTodos","GetActiveTodos_ShouldReturnOnlyActiveTodos",""
"passed","Thu Nov 13 14:39:15 UTC 2025","Thu Nov 13 14:39:15 UTC 2025","6","","Unit Tests","","TodoAppUnitTests","AddTodo_MultipleTodos_ShouldAssignUniqueIds","AddTodo_MultipleTodos_ShouldAssignUniqueIds",""
"passed","Thu Nov 13 14:39:15 UTC 2025","Thu Nov 13 14:39:15 UTC 2025","1","","Unit Tests","","TodoAppUnitTests","GetCompletedTodos_ShouldReturnOnlyCompletedTodos","GetCompletedTodos_ShouldReturnOnlyCompletedTodos",""
"passed","Thu Nov 13 14:39:07 UTC 2025","Thu Nov 13 14:39:08 UTC 2025","1768","","UI Tests","","TodoUITests","FilterCompleted_ShouldShowOnlyCompletedTodos","FilterCompleted_ShouldShowOnlyCompletedTodos","Verify that the Completed filter shows only completed todos"
"passed","Thu Nov 13 14:38:59 UTC 2025","Thu Nov 13 14:39:00 UTC 2025","1154","","UI Tests","","TodoUITests","AddTodo_WithEmptyText_ShouldNotAddTodo","AddTodo_WithEmptyText_ShouldNotAddTodo","Verify that adding a todo with empty text does not add it to the list"
"passed","Thu Nov 13 14:39:03 UTC 2025","Thu Nov 13 14:39:05 UTC 2025","1498","","UI Tests","","TodoUITests","DeleteTodo_ShouldRemoveFromList","DeleteTodo_ShouldRemoveFromList","Verify that deleting a todo removes it from the list"
"passed","Thu Nov 13 14:39:15 UTC 2025","Thu Nov 13 14:39:15 UTC 2025","1","","Unit Tests","","TodoAppUnitTests","DeleteTodo_WithValidId_ShouldRemoveTodo","DeleteTodo_WithValidId_ShouldRemoveTodo",""
"passed","Thu Nov 13 14:39:15 UTC 2025","Thu Nov 13 14:39:15 UTC 2025","10","","Unit Tests","","TodoAppUnitTests","AddTodo_WithEmptyText_ShouldThrowException","AddTodo_WithEmptyText_ShouldThrowException",""
"passed","Thu Nov 13 14:39:15 UTC 2025","Thu Nov 13 14:39:15 UTC 2025","1","","Unit Tests","","TodoAppUnitTests","AddTodo_WithValidText_ShouldAddTodoToList","AddTodo_WithValidText_ShouldAddTodoToList",""
"passed","Thu Nov 13 14:39:08 UTC 2025","Thu Nov 13 14:39:10 UTC 2025","1577","","UI Tests","","TodoUITests","LocalStorage_ShouldPersistTodos","LocalStorage_ShouldPersistTodos","Verify that todos persist in localStorage after page reload"
"passed","Thu Nov 13 14:39:10 UTC 2025","Thu Nov 13 14:39:11 UTC 2025","1032","","UI Tests","","TodoUITests","PageLoad_ShouldDisplayTodoAppTitle","PageLoad_ShouldDisplayTodoAppTitle","Verify that the Todo application displays the correct title on page load"
"passed","Thu Nov 13 14:39:15 UTC 2025","Thu Nov 13 14:39:15 UTC 2025","0","","Unit Tests","","TodoAppUnitTests","ToggleTodo_WithValidId_ShouldToggleCompletionStatus","ToggleTodo_WithValidId_ShouldToggleCompletionStatus",""
"passed","Thu Nov 13 14:39:15 UTC 2025","Thu Nov 13 14:39:15 UTC 2025","0","","Unit Tests","","TodoAppUnitTests","ClearCompleted_ShouldRemoveOnlyCompletedTodos","ClearCompleted_ShouldRemoveOnlyCompletedTodos",""
"passed","Thu Nov 13 14:39:14 UTC 2025","Thu Nov 13 14:39:15 UTC 2025","1596","","UI Tests","","TodoUITests","ToggleTodo_ShouldMarkAsCompleted","ToggleTodo_ShouldMarkAsCompleted","Verify that toggling a todo marks it as completed"
"passed","Thu Nov 13 14:39:02 UTC 2025","Thu Nov 13 14:39:03 UTC 2025","1887","","UI Tests","","TodoUITests","ClearCompleted_ShouldRemoveCompletedTodos","ClearCompleted_ShouldRemoveCompletedTodos","Verify that Clear Completed removes only completed todos"
"passed","Thu Nov 13 14:39:00 UTC 2025","Thu Nov 13 14:39:02 UTC 2025","1403","","UI Tests","","TodoUITests","AddTodo_WithValidText_ShouldDisplayInList","AddTodo_WithValidText_ShouldDisplayInList","Verify that adding a todo with valid text displays it in the list"
"passed","Thu Nov 13 14:39:11 UTC 2025","Thu Nov 13 14:39:12 UTC 2025","1415","","UI Tests","","TodoUITests","TodoCounter_AfterCompleting_ShouldDecrease","TodoCounter_AfterCompleting_ShouldDecrease","Verify that the todo counter decreases after completing a todo"
"passed","Thu Nov 13 14:39:15 UTC 2025","Thu Nov 13 14:39:15 UTC 2025","3","","Unit Tests","","TodoAppUnitTests","DeleteTodo_WithInvalidId_ShouldThrowException","DeleteTodo_WithInvalidId_ShouldThrowException",""
"passed","Thu Nov 13 14:39:05 UTC 2025","Thu Nov 13 14:39:07 UTC 2025","1670","","UI Tests","","TodoUITests","FilterActive_ShouldShowOnlyActiveTodos","FilterActive_ShouldShowOnlyActiveTodos","Verify that the Active filter shows only active todos"
"passed","Thu Nov 13 14:39:12 UTC 2025","Thu Nov 13 14:39:14 UTC 2025","1235","","UI Tests","","TodoUITests","TodoCounter_ShouldDisplayCorrectCount","TodoCounter_ShouldDisplayCorrectCount","Verify that the todo counter displays the correct count"
